name,category,rating,reviews,address,phone,website,latitude,longitude,url,source,query,scraped_at
National Music Academy of Ukraine,university,,,"вулиця Архітектора Городецького 1-3/11, 01001",+380 44 279 0792,https://knmau.com.ua/,50.4488597,30.5252499,https://www.openstreetmap.org/way/31823030,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Faculty of Economics,university,,,"Васильківська вулиця 90, 03022",,http://www.econom.univ.kiev.ua,50.3890016,30.4807821,https://www.openstreetmap.org/way/33123375,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Institute of Geology,university,,,"Васильківська вулиця 90, 03022",,http://www.geol.univ.kiev.ua/,50.3879492,30.480239,https://www.openstreetmap.org/way/33123377,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kyiv Medical University,university,,,вулиця Гетьмана Павла Скоропадського 9,,,50.4398985,30.5123017,https://www.openstreetmap.org/way/33632135,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Медичний інститут Української асоціації народної медицини,university,,,Харківське шосе 121,,,50.4152066,30.6648809,https://www.openstreetmap.org/way/34155887,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київська державна академія водного транспорту імені гетьмана Петра Конашевича-Сагайдачного,university,,,Щекавицька вулиця 3/9,,,50.4674085,30.507579,https://www.openstreetmap.org/way/39534510,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
НУБіП Навчальний корпус №10,university,,,вулиця Героїв Оборони 11,,,50.3837959,30.4948543,https://www.openstreetmap.org/way/41385320,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
НУБіП Навчальний корпус №4,university,,,вулиця Героїв Оборони 13,,,50.3838718,30.4967132,https://www.openstreetmap.org/way/41385321,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
НУБіП України корпус № 3 (центральний),university,,,вулиця Героїв Оборони 15,,,50.3838152,30.500229,https://www.openstreetmap.org/way/41385322,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Природничо-гуманітарний інститут НУБіП (корпус 2),university,,,вулиця Героїв Оборони 17,,,50.3839708,30.5031974,https://www.openstreetmap.org/way/41385323,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Гідробіологічний факультет НУБіП (корпус 1),university,,,вулиця Горіхуватський Шлях 19,,,50.3837225,30.5058767,https://www.openstreetmap.org/way/41385324,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
University “Ukraine”,university,,,вулиця Хорива 1-Г,,,50.4647651,30.5124074,https://www.openstreetmap.org/way/44755978,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Університет банківської справи,university,,,Андріївська вулиця 1/1,+380 44 462 5305,http://www.ubs.gov.ua,50.4605982,30.5202152,https://www.openstreetmap.org/way/45588175,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Bogomoletz Institute of Physiology,university,,,вулиця Академіка Богомольця 4,+380 44 253 2013,http://biph.kiev.ua,50.4403546,30.5311965,https://www.openstreetmap.org/way/47233729,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Університет новітніх технологій,university,,,Машинобудівний провулок 28,,http://unt.kiev.ua/,50.448816,30.4345585,https://www.openstreetmap.org/way/50337174,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київський Інститут Автоматики,university,,,Нагірна вулиця 20,,,50.4727685,30.482783,https://www.openstreetmap.org/way/58879072,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Кріогенний корпус. ДП центр екологічного моніторингу України,university,,,проспект Академіка Глушкова 4-А,,,50.3816161,30.4726657,https://www.openstreetmap.org/way/101646798,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Military Institute,university,,,"вулиця Юлії Здановської 81, 03189",,https://mil.univ.kiev.ua/,50.3836704,30.4661337,https://www.openstreetmap.org/way/101812154,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
International Solomon University,university,,,вулиця Шолуденка 1-Б,,http://www.isu.edu.ua/,50.4520186,30.4772688,https://www.openstreetmap.org/way/112682837,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
University Ukraine,university,,,Львівська вулиця 23,,https://uu.edu.ua/,50.4537504,30.3698609,https://www.openstreetmap.org/way/114113362,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Університет Україна,university,,,Львівська вулиця 23,,,50.4536672,30.3697106,https://www.openstreetmap.org/way/114113363,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kyiv School of Economics,university,,,Дмитрівська вулиця 92-94,,,50.4558001,30.4879035,https://www.openstreetmap.org/way/115002442,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"Київський національний університет театру, кіно і телебачення імені І. К. Карпенка-Карого",university,,,Ярославська вулиця 17/22,,http://knutkt.com.ua,50.4679993,30.5110017,https://www.openstreetmap.org/way/139852694,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Інститут післядипломної освіти,university,,,,,,50.3923309,30.4829445,https://www.openstreetmap.org/way/144131260,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"Київський національний університет театру, кіно і телебачення ім. І. К. Карпенка-Карого",university,,,вулиця Хрещатик 52,,http://knutkt.com.ua,50.4429655,30.520033,https://www.openstreetmap.org/way/147323150,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Nuclear physics department of KNU,university,,,Васильківська вулиця 98-А,+380 44 259 7533,http://atom.univ.kiev.ua/,50.3851551,30.4764446,https://www.openstreetmap.org/way/147533559,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київський Інститут Автоматики,university,,,Нагірна вулиця 22,,,50.4718704,30.4836602,https://www.openstreetmap.org/way/148175055,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"Університет туризму, економіки і права",university,,,,,,50.4681755,30.6123938,https://www.openstreetmap.org/way/156403874,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
State University of Telecommunications,university,,,,,https://dut.edu.ua/,50.4289128,30.4770766,https://www.openstreetmap.org/way/161108034,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"Academy of Labour, Social Relations and Tourism",university,,,,,http://www.socosvita.kiev.ua/,50.3716987,30.4533599,https://www.openstreetmap.org/way/163194304,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
National Transport University,university,,,,,http://new.ntu.edu.ua/,50.4394252,30.5497628,https://www.openstreetmap.org/way/191580066,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
International University of Finance,university,,,Берестейський проспект 37,,,50.4487852,30.4624431,https://www.openstreetmap.org/way/225543110,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київська державна академія декоративно-прикладного мистецтва і дизайну ім. Михайла Бойчука,university,,,,,https://boychukart.kiev.ua/,50.4088438,30.5501698,https://www.openstreetmap.org/way/281602543,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Національний університет фізичного виховання і спорту,university,,,,+380 44 287 4483,https://www.uni-sport.edu.ua/,50.4309602,30.5184164,https://www.openstreetmap.org/way/284395846,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київське вище професійне поліграфічне училище,university,,,,,http://kvppu.com,50.4504594,30.4281137,https://www.openstreetmap.org/way/341066952,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"Seminary ""Grace and Truth""",university,,,,+380 44 411 1588,http://www.gtseminary.com/,50.526207,30.5011346,https://www.openstreetmap.org/way/478658383,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Національна медична академія післядипломної освіти імені П. Л. Шупика,university,,,,,https://nmapo.edu.ua,50.4692757,30.4489167,https://www.openstreetmap.org/way/488493653,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Інститут аграрної економіки УААН,university,,,,,http://www.iae.org.ua/,50.3824866,30.4912717,https://www.openstreetmap.org/way/526174336,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kyiv Slavonic University,university,,,"вулиця Олександра Архипенка 10-Г, 04211",+380 44 464 4588,http://ksu.edu.ua/,50.493964,30.5179518,https://www.openstreetmap.org/way/543237974,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
European University,university,,,,,http://www.e-u.in.ua,50.4611897,30.3789619,https://www.openstreetmap.org/way/554357228,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Університет імені Бориса Грінченка,university,,,вулиця Левка Лукʼяненка 13-Б,,,50.5137648,30.4918829,https://www.openstreetmap.org/way/554714288,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Український державний університет фінансів та міжнародної торгівлі (КНТЕУ),university,,,,,,50.3625129,30.4374195,https://www.openstreetmap.org/way/609058460,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kiev National University of Culture and Arts,university,,,,,http://knukim.edu.ua/,50.4248001,30.5346685,https://www.openstreetmap.org/way/613075981,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
National Academy of Fine Arts and Architecture,university,,,,+380 44 272 1946,https://naoma.edu.ua/,50.4586993,30.507517,https://www.openstreetmap.org/way/613961749,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kyiv National University of Construction and Architecture,university,,,,,https://www.knuba.edu.ua/,50.4261226,30.4679592,https://www.openstreetmap.org/way/621636481,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Національний університет біоресурсів і природокористування України,university,,,Васильківська вулиця 17,,https://nubip.edu.ua/about,50.3941905,30.4983388,https://www.openstreetmap.org/way/642676042,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
National University of Life and Environmental Sciences of Ukraine,university,,,вулиця Героїв Оборони 15,,https://nubip.edu.ua/,50.3811092,30.4962155,https://www.openstreetmap.org/way/643003691,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Інститут екогігієни та токсикології ім. Л. І. Медведя,university,,,"вулиця Героїв Оборони 6, 03127",,,50.381924,30.4866763,https://www.openstreetmap.org/way/643009622,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київський кооперативний інститут бізнесу і права,university,,,,,https://kkibp.edu.ua/uk/,50.3922239,30.4936542,https://www.openstreetmap.org/way/653268385,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Plants Physiology and Genetics Institute,university,,,Васильківська вулиця 31/17,,https://www.ifrg.kiev.ua/,50.392523,30.4900672,https://www.openstreetmap.org/way/654072171,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Plants Protection Institute,university,,,Васильківська вулиця 33,,https://ipp.gov.ua/,50.3922422,30.4884101,https://www.openstreetmap.org/way/654073967,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Інститут підготовки кадрів Державної служби зайнятості України,university,,,,,,50.4275465,30.5022881,https://www.openstreetmap.org/way/661507878,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Beekeping University,university,,,"вулиця Академіка Заболотного 19, 03680",+380 44 526 6798,http://prokopovich.com.ua,50.357545,30.4823027,https://www.openstreetmap.org/way/709294945,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Таврійський національний університет імені Вернадського,university,,,вулиця Джона Маккейна 33,,,50.4184985,30.5376718,https://www.openstreetmap.org/way/772860123,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Університет менеджменту освіти,university,,,вулиця Січових Стрільців 52-А,,http://umo.edu.ua,50.4575249,30.4931137,https://www.openstreetmap.org/way/798915668,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Європейський університет,university,,,,,https://e-u.in.ua,50.420146,30.379508,https://www.openstreetmap.org/way/825199181,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київський інститут музики імені Р.М. Глієра,university,,,вулиця Льва Толстого 31,,,50.440705,30.5026277,https://www.openstreetmap.org/way/851035769,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
National University of Food Technologies,university,,,,,https://nuft.edu.ua/,50.43893,30.5092183,https://www.openstreetmap.org/way/860670794,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"Національна академія статистики, обліку та аудиту",university,,,,,,50.4657457,30.4847564,https://www.openstreetmap.org/way/865702163,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Інститут філології КНУ ім. Тараса Шевченка,university,,,"бульвар Тараса Шевченка 14, 01601",+380442393101,https://philology.knu.ua/,50.443984,30.5140529,https://www.openstreetmap.org/way/891735242,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Університет імені Бориса Грінченка,university,,,,+380 44 295 3489,https://im.kubg.edu.ua/,50.4395532,30.6026342,https://www.openstreetmap.org/way/954722031,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Спорткомплекс Національного університету харчових технологій,university,,,,,,50.3964254,30.5332644,https://www.openstreetmap.org/way/1023486315,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Академія естрадного та циркового мистецтв,university,,,Жилянська вулиця 88,,,50.4391403,30.5000759,https://www.openstreetmap.org/way/1039666911,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Інститут агроекології і природокористування НААН,university,,,,,,50.3514219,30.4751508,https://www.openstreetmap.org/way/1163077188,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Інститут інноваційної освіти КНУБА,university,,,,,,50.4264965,30.4642617,https://www.openstreetmap.org/way/1360068810,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Міжнародний Інститут Менеджменту,university,,,,,http://www.mim.kiev.ua,50.4518157,30.4698284,https://www.openstreetmap.org/way/1364119070,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Vadym Hetman Kyiv National Economic University,university,,,,+380 44 456 3162,http://kneu.edu.ua/,50.4607472,30.4329341,https://www.openstreetmap.org/way/1364607734,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Національна академія державного управління при Президентові України,university,,,,,,50.4602549,30.4335964,https://www.openstreetmap.org/way/1364607735,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kyiv School of Economics,university,,,,,,50.4584291,30.4299178,https://www.openstreetmap.org/way/1364608010,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Building No. 26 NTUU KPI,university,,,,,https://kpi.ua/k-26,50.4337204,30.5357602,https://www.openstreetmap.org/way/1364611253,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київський Міжнародний Університет,university,,,,,,50.4529912,30.3546638,https://www.openstreetmap.org/way/1375208854,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Навчально-науковий інститут №2 з підготовки слідчих і криміналістів МВС України,university,,,,,,50.4931908,30.607134,https://www.openstreetmap.org/way/1380098273,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kyiv National Economic University,university,,,,,https://kneu.edu.ua/,50.454723,30.5049835,https://www.openstreetmap.org/way/1423851525,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Міжнародний Науково-Технічний Університет,university,,,,+380 44 291 5053,https://www.istu.edu.ua/,50.4530998,30.6366707,https://www.openstreetmap.org/way/1433125658,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kyiv Medical University,university,,,,+380 44 567 2929,https://kmu.edu.ua/,50.4302887,30.6566127,https://www.openstreetmap.org/way/1433727045,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Diplomatic Academy of Ukraine,university,,,,+380 44 238 1545,http://dipacadem.kiev.ua/,50.4558324,30.5203358,https://www.openstreetmap.org/way/1476121338,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київська школа економіки,university,,,,,,50.5007535,30.5190642,https://www.openstreetmap.org/way/1482467089,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Кампус НАУ,university,,,,,,50.4397714,30.4344829,https://www.openstreetmap.org/way/1513099935,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”,university,,,,,,50.4472265,30.4543433,https://www.openstreetmap.org/relation/1175542,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київський університет ім. Бориса Грінченка,university,,,проспект Павла Тичини 19,,https://kubg.edu.ua/,50.4325283,30.6095647,https://www.openstreetmap.org/relation/1398418,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"Faculty of Cybernetics, Faculty of Sociology",university,,,проспект Академіка Глушкова 4-Д,,https://csc.knu.ua/,50.3830239,30.4705135,https://www.openstreetmap.org/relation/1447306,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Faculty of Mechanics and Mathematics,university,,,проспект Академіка Глушкова 4-Е,,http://www.mechmat.univ.kiev.ua/,50.3835783,30.4699803,https://www.openstreetmap.org/relation/1447398,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"Faculty of Radiophysics, Electronics and Computer Systems",university,,,проспект Академіка Глушкова 4-Г,,https://rex.knu.ua/,50.3824743,30.4710469,https://www.openstreetmap.org/relation/1447399,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Interregional Academy of Personnel Management,university,,,,,https://www.maup.com.ua/,50.4097194,30.5122238,https://www.openstreetmap.org/relation/1691776,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
National University of Defense of Ukraine,university,,,,,https://nuou.org.ua/,50.4327001,30.4646779,https://www.openstreetmap.org/relation/3621184,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kyiv Aviation Institute,university,,,,,https://www.nau.edu.ua/,50.4455812,30.4233785,https://www.openstreetmap.org/relation/3977062,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Bogomolets National Medical University,university,,,,,http://www.nmu.edu.ua/,50.4463403,30.4780133,https://www.openstreetmap.org/relation/4085261,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Національний педагогічний університет ім. Михайла Драгоманова,university,,,,,https://npu.edu.ua/,50.450089,30.4612803,https://www.openstreetmap.org/relation/5121502,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Taras Shevchenko National University of Kyiv,university,,,,+380 44 239 3333,http://www.univ.kiev.ua/,50.41726,30.4880558,https://www.openstreetmap.org/relation/5147906,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Національна академія внутрішніх справ,university,,,,,,50.432777,30.4718682,https://www.openstreetmap.org/relation/5346026,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Vadym Hetman Kyiv National Economic University,university,,,"Берестейський проспект 54/1, 03057",+380 44 456 3162,http://kneu.edu.ua/,50.4619995,30.4539508,https://www.openstreetmap.org/relation/5613108,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Institute of International Relations and Journalism,university,,,,,,50.4710398,30.4667647,https://www.openstreetmap.org/relation/6620903,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Інститут водних проблем і меліорації НААН України,university,,,Васильківська вулиця 37,,http://igim.org.ua/,50.3918301,30.485336,https://www.openstreetmap.org/relation/6662659,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Національний лінгвістичний університет,university,,,,+380 44 287 3372,http://www.knlu.edu.ua/,50.4265122,30.5193325,https://www.openstreetmap.org/relation/8489776,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
"Kyiv National University of Theatre, Drama and Television",university,,,,,http://knutkt.com.ua,50.4249244,30.5282244,https://www.openstreetmap.org/relation/8493617,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Державний університет інфраструктури та технологій,university,,,,,http://duit.org.ua,50.4408174,30.4823243,https://www.openstreetmap.org/relation/8631102,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київський університет ринкових відносин,university,,,,,,50.4262244,30.6124627,https://www.openstreetmap.org/relation/11038563,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Київський Національний Університет Культури і Мистецтв (КНУКіМ),university,,,,,http://knukim.edu.ua/,50.4228219,30.5373824,https://www.openstreetmap.org/relation/11523219,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
National University of Kyiv-Mohyla Academy,university,,,,+380 44 425 6059,https://www.ukma.edu.ua/,50.4653423,30.5211708,https://www.openstreetmap.org/relation/12017906,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Капмус НАУ,university,,,,,,50.437885,30.4398514,https://www.openstreetmap.org/relation/13096536,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
State National University of Trade and Economics,university,,,,+380 44 513 3348,https://knute.edu.ua,50.4668863,30.6379711,https://www.openstreetmap.org/relation/15946942,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
KROK University,university,,,,,https://www.krok.edu.ua,50.4613513,30.4283953,https://www.openstreetmap.org/relation/16087842,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Військовий інститут телекомунікацій та інформатизації,university,,,,,http://viti.edu.ua/,50.4305845,30.5452684,https://www.openstreetmap.org/relation/17062491,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Національний транспортний університет,university,,,вулиця Михайла Бойчука 42,,,50.4060389,30.5514704,https://www.openstreetmap.org/relation/17062492,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Kyiv National University of Technologies and Design (KNUTD),university,,,,,,50.4204804,30.5436454,https://www.openstreetmap.org/relation/17062493,openstreetmap,University in Kyiv,2026-08-20T10:35:02Z
Ukrainian State University of Finance and International Trade,University,,,"Kyiv - Holosiiv Raion, Ukraine",,,,,https://mapy.com/en/?source=osm&id=1015405370,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
Kyiv Economic Institute of Management,University,,,"Smolensʹka Vulytsya 31/33, Kyiv - Solomianka Raion, Ukraine",,,,,https://mapy.com/en/?source=osm&id=1129066944,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
National Academy of Internal Affairs of Ukraine,University,,,"Solomianska Square 1, Kyiv - Solomianka Raion, Ukraine",,,,,https://mapy.com/en/?source=osm&id=95269836,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
Kyiv National Linguistic University,University,,,"Laboratorna Street 3, Kyiv - Pecherskyi District, Ukraine",,,,,https://mapy.com/en/?source=osm&id=1015613116,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
"Kyiv National I. K. Karpenko-Kary Theatre, Cinema and Television University",University,,,"Kyiv - Pecherskyi District, Ukraine",,,,,https://mapy.com/en/?source=osm&id=1015613249,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
Institute of Plant Physiology and Genetics NAS of Ukraine,University,,,"Vasylkivska Street 31/17, Kyiv - Holosiiv Raion, Ukraine",,,,,https://mapy.com/en/?source=osm&id=1027253834,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
Institute of plant protection of the National Academy of Agricultural Sciences of Ukraine,University,,,"Vasylkivska Street 33, Kyiv - Holosiiv Raion, Ukraine",,,,,https://mapy.com/en/?source=osm&id=1027253839,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
National Transport University,University,,,"Mykhaila Boichuka Street 42, Kyiv - Pecherskyi District, Ukraine",,,,,https://mapy.com/en/?source=osm&id=11591527,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
Kyiv Aviation University,University,,,"Liubomyra Huzara Avenue 1, Kyiv - Solomianka Raion, Ukraine",,,,,https://mapy.com/en/?source=osm&id=11592659,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
Kyiv College of Transport Infrastructure,University,,,"Provulok Yaroslava Khomova 16, Kyiv - Solomianka Raion, Ukraine",,,,,https://mapy.com/en/?source=osm&id=1072363881,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
Industrial and Economic College of the National Aviation University,University,,,"Metrobudivsʹka Vulytsya 5-А, Kyiv - Solomianka Raion, Ukraine",,,,,https://mapy.com/en/?source=osm&id=95265439,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
National Academy of Culture and Arts Management,University,,,"Ivana Mazepy Street 9, Kyiv - Pecherskyi District, Ukraine",,,,,https://mapy.com/en/?source=osm&id=112511284,mapy.com,University in Kyiv,2026-08-20T10:35:02Z
